time,x,y,z,yaw,totalWeight,centroidCol,centroidRow,yawAngle
740036.0698743172,1.4302,-0.0009,-0.8775,-0.0000,2760,80.0,60.5,1.2000
740036.0698743865,1.4312,-0.0009,-0.8775,-0.0000,2760,80.0,60.5,1.2000
740036.0698744444,1.4322,-0.0009,-0.8775,-0.0000,2760,80.0,60.5,1.2000
740036.0698749305,1.4333,-0.0009,-0.8774,-0.0000,2758,80.0,60.5,1.2000
740036.0698749884,1.4343,-0.0009,-0.8774,-0.0000,2758,80.0,60.5,1.2000
740036.0698750694,1.4353,-0.0010,-0.8774,0.0000,2758,80.0,60.5,1.2000
740036.0698751273,1.4364,-0.0010,-0.8774,-0.0000,2758,80.0,60.5,1.2000
740036.0698753935,1.4374,-0.0010,-0.8773,-0.0000,2758,80.0,60.5,1.2000
740036.0698754629,1.4384,-0.0010,-0.8773,-0.0000,2758,80.0,60.5,1.2000
740036.0698755324,1.4395,-0.0010,-0.8773,-0.0000,2758,80.0,60.5,1.2000
740036.0698755903,1.4405,-0.0010,-0.8772,-0.0000,2758,80.0,60.5,1.2000
740036.0698761574,1.4415,-0.0010,-0.8772,-0.0000,2758,80.0,60.5,1.2000
740036.0698762385,1.4425,-0.0010,-0.8772,-0.0000,2758,80.0,60.5,1.2000
740036.0698763195,1.4436,-0.0010,-0.8772,-0.0000,2758,80.0,60.5,1.2000
740036.0698764005,1.4446,-0.0011,-0.8771,-0.0000,2758,80.0,60.5,1.2000
740036.0698767361,1.4456,-0.0011,-0.8771,-0.0000,2758,80.0,60.5,1.2000
740036.0698768172,1.4466,-0.0011,-0.8771,-0.0000,2758,80.0,60.5,1.2000
740036.0698768982,1.4477,-0.0011,-0.8770,-0.0000,2758,80.0,60.5,1.2000
740036.0698769676,1.4487,-0.0011,-0.8770,-0.0000,2758,80.0,60.5,1.2000
740036.0698772222,1.4497,-0.0011,-0.8770,-0.0000,2758,80.0,60.5,1.2000
740036.0698772917,1.4508,-0.0011,-0.8769,0.0000,2758,80.0,60.5,1.2000
740036.0698773611,1.4518,-0.0011,-0.8769,0.0000,2758,80.0,60.5,1.2000
740036.0698774306,1.4528,-0.0011,-0.8769,0.0000,2758,80.0,60.5,1.2000
740036.0698776505,1.4538,-0.0011,-0.8768,-0.0000,2758,80.0,60.5,1.2000
740036.0698777199,1.4549,-0.0012,-0.8768,-0.0000,2758,80.0,60.5,1.2000
740036.0698777894,1.4559,-0.0012,-0.8767,-0.0000,2758,80.0,60.5,1.2000
740036.0698778587,1.4569,-0.0012,-0.8767,-0.0000,2758,80.0,60.5,1.2000
740036.0698781250,1.4580,-0.0012,-0.8766,-0.0000,2758,80.0,60.5,1.2000
740036.0698781945,1.4590,-0.0012,-0.8766,-0.0000,2758,80.0,60.5,1.2000
740036.0698782639,1.4600,-0.0012,-0.8765,-0.0000,2758,80.0,60.5,1.2000
740036.0698783449,1.4611,-0.0012,-0.8765,-0.0000,2758,80.0,60.5,1.2000
740036.0698786343,1.4621,-0.0012,-0.8764,-0.0000,2758,80.0,60.5,1.2000
740036.0698787037,1.4631,-0.0012,-0.8764,-0.0000,2758,80.0,60.5,1.2000
740036.0698787615,1.4642,-0.0012,-0.8763,-0.0000,2758,80.0,60.5,1.2000
740036.0698788194,1.4652,-0.0012,-0.8763,-0.0000,2758,80.0,60.5,1.2000
740036.0698793750,1.4662,-0.0012,-0.8763,-0.0000,2758,80.0,60.5,1.2000
740036.0698794676,1.4673,-0.0013,-0.8762,-0.0000,2758,80.0,60.5,1.2000
740036.0698795370,1.4683,-0.0013,-0.8762,-0.0000,2758,80.0,60.5,1.2000
740036.0698796180,1.4693,-0.0013,-0.8761,0.0000,2758,80.0,60.5,1.2000
740036.0698799074,1.4703,-0.0013,-0.8761,0.0000,2758,80.0,60.5,1.2000
740036.0698800000,1.4714,-0.0013,-0.8760,0.0000,2758,80.0,60.5,1.2000
740036.0698800695,1.4724,-0.0013,-0.8760,0.0000,2758,80.0,60.5,1.2000
740036.0698801388,1.4734,-0.0013,-0.8759,0.0000,2758,80.0,60.5,1.2000
740036.0698804861,1.4745,-0.0013,-0.8759,0.0000,2760,80.0,60.5,1.2000
740036.0698805555,1.4755,-0.0013,-0.8758,0.0000,2760,80.0,60.5,1.2000
740036.0698806250,1.4765,-0.0013,-0.8757,0.0000,2760,80.0,60.5,1.2000
740036.0698806829,1.4776,-0.0013,-0.8756,0.0000,2760,80.0,60.5,1.2000
740036.0698809375,1.4786,-0.0013,-0.8756,0.0000,2760,80.0,60.5,1.2000
740036.0698810070,1.4797,-0.0013,-0.8755,0.0000,2760,80.0,60.5,1.2000
740036.0698810763,1.4807,-0.0013,-0.8754,0.0000,2760,80.0,60.5,1.2000
740036.0698811458,1.4818,-0.0013,-0.8753,0.0000,2760,80.0,60.5,1.2000
740036.0698814236,1.4828,-0.0013,-0.8752,0.0000,2760,80.0,60.5,1.2000
740036.0698814931,1.4839,-0.0013,-0.8751,0.0000,2760,80.0,60.5,1.2000
740036.0698815625,1.4849,-0.0012,-0.8751,0.0000,2760,80.0,60.5,1.2000
740036.0698816204,1.4859,-0.0012,-0.8750,0.0000,2760,80.0,60.5,1.2000
740036.0698818750,1.4870,-0.0012,-0.8749,0.0000,2760,80.0,60.5,1.2000
